Obj1,Obj2,Obj3,Obj4,Obj5,Obj6,Obj7,Obj8,Obj9
4.583038,-20.6759,-20.49329,236.3385,2.058731,15.45513,-20.47163,0.5431519,4.16864
0.5803986,-23.52591,-24.8091,272.1042,-0.4489288,10.3549,-13.82029,1.32312,-9.607605
5.205353,-2.167648,-23.1425,251.9129,-6.29538,9.85009,-18.116,-3.281235,3.94696
-2.834045,11.0593,-41.1225,299.5175,6.612366,11.85024,-24.05392,6.976486,1.795837
0.2678528,12.06462,-29.84514,313.0468,9.948425,6.720535,-34.17368,5.268188,1.107315
1.296005,17.46878,-27.25183,317.9652,-4.46814,12.11671,-34.43895,1.983444,22.02917
-40.16966,-46.20122,-3.523865,327.5504,29.04045,27.92486,-4.882553,10.46175,1.293701
-29.71516,-22.48286,67.65785,1.324982,30.95537,21.79022,-8.392776,0.8643799,24.1402
-32.27896,-37.86317,2.738449,325.4745,12.25125,20.12199,-10.9169,9.107635,23.3575
8.207657,9.344543,-13.20117,255.1537,-17.41951,6.977219,-2.853241,28.26028,10.22427
-5.606491,3.106628,-13.487,251.9264,-116.299,6.54351,10.42894,26.11763,-8.887283
6.275696,13.72189,-22.23434,258.4221,-25.25607,11.69012,-10.72707,-4.87822,-1.309097
-22.16431,-4.556595,-16.26082,56.47978,-20.4864,-12.42529,-5.092133,10.93829,14.65831
-11.65816,7.134995,-2.574219,26.98088,-23.18476,12.74273,-18.32953,2.318787,26.12637
-18.8976,6.126099,3.339645,21.41577,-13.14268,28.25763,-18.52637,17.83388,15.98019
-5.741745,-1.939301,12.01726,14.52512,3.299881,13.8521,-26.41721,3.369873,1.517471
-9.721146,1.618042,7.687927,21.59435,0.2098389,17.18717,-12.72822,-5.928711,0.9194489
-8.052841,-3.453674,9.646759,15.25009,7.364822,11.77091,-20.37364,157.0407,-0.6016388
13.7764,-12.76021,-63.83566,-41.17809,37.62119,11.15842,-27.48534,0.9685669,-0.07759094
-12.25789,-13.08783,-40.22156,271.8918,46.62365,21.89909,-6.426315,5.082581,-5.288376
-12.2798,-12.17912,-44.28102,240.2105,36.83908,19.67091,-5.799164,-3.359207,-1.140121
-11.70332,7.935303,2.423431,-6.447357,12.95894,5.391304,-9.789978,-9.0793,-1.284622
-6.241592,-3.879684,-3.557083,-10.60567,12.70699,4.381119,-4.394775,-8.795105,-5.314636
-12.89258,-5.661224,-22.52798,31.05408,22.4082,23.89023,-5.236755,-5.403687,2.35025
