SubjectID, ObjectId,ChangeErrorX,ChangeErrorY
0,0,-22.94653,4.583038
0,1,-22.19978,-20.6759
0,2,333.7656,-23.1425
0,3,13.86418,251.9129
0,4,-0.186264,-0.4489288
0,5,126.6774,10.3549
0,6,-3.501038,-18.116
0,7,-21.98993,1.32312
0,8,29.21864,3.94696
1,0,-12.33501,0.2678528
1,1,-27.51686,12.06462
1,2,315.7607,-29.84514
1,3,-44.75053,313.0468
1,4,2.045776,6.612366
1,5,163.8833,11.85024
1,6,15.87082,-34.17368
1,7,-16.72125,5.268188
1,8,6.381744,1.795837
2,0,-18.53587,-32.27896
2,1,6.260681,-37.86317
2,2,127.1926,2.738449
2,3,-37.09659,325.4745
2,4,6.703964,29.04045
2,5,14.63437,21.79022
2,6,28.24832,-8.392776
2,7,-1.142944,9.107635
2,8,17.7034,23.3575
3,0,-0.9935608,6.275696
3,1,-10.99652,9.344543
3,2,3.934128,-13.487
3,3,6.092087,255.1537
3,4,11.46544,-25.25607
3,5,-30.69334,6.977219
3,6,20.48743,-2.853241
3,7,11.31783,-4.87822
3,8,20.99257,-1.309097
4,0,5.881042,-18.8976
4,1,-10.89214,6.126099
4,2,-338.2539,-2.574219
4,3,-12.72348,26.98088
4,4,40.41119,-20.4864
4,5,-21.4201,12.74273
4,6,40.13266,-18.52637
4,7,-25.46912,10.93829
4,8,2.28006,15.98019
5,0,2.303085,-8.052841
5,1,-15.40865,-1.939301
5,2,5.857132,9.646759
5,3,-8.18576,15.25009
5,4,1.990005,3.299881
5,5,-94.45581,13.8521
5,6,14.76184,-20.37364
5,7,7.643448,3.369873
5,8,11.3029,0.9194489
6,0,0.4974823,-12.25789
6,1,9.160263,-12.76021
6,2,211.324,-44.28102
6,3,-13.2493,240.2105
6,4,37.79971,37.62119
6,5,52.89636,19.67091
6,6,12.52914,-6.426315
6,7,22.71274,0.9685669
6,8,17.21248,-1.140121
7,0,-2.655746,-11.70332
7,1,-15.33417,-3.879684
7,2,-15.64177,-3.557083
7,3,-15.07028,-6.447357
7,4,14.51392,12.95894
7,5,40.11172,5.391304
7,6,9.853271,-4.394775
7,7,-11.55803,-8.795105
7,8,9.149734,-1.284622
